FID,Id,Site,Circrat,Date,Spec_Code,ColonyID,PatchID,PatchName,Poly_Area,Poly_Perim,LinkTP_Bac,LinkTP_For,Notes,TimePt,Shape_Leng,Shape_Area
76,0,OAH22,6,08/01/2016,POSP, ,167,OAH22_06_08/01/2016_POSP_0167,0.000656961889453,0.094932225392600, ,225,Fusion,1,0.094938008966000,0.000657390003065
77,0,OAH22,6,08/01/2016,POSP, ,168,OAH22_06_08/01/2016_POSP_0168,0.001006888704400,0.124607762172000, ,230,Fusion,1,0.124480129760000,0.001007429992820
78,0,OAH22,6,08/01/2016,POSP, ,169,OAH22_06_08/01/2016_POSP_0169,0.000322778950236,0.074644946607600, ,230,Fusion,1,0.074683675457900,0.000323189988594
79,0,OAH22,6,08/01/2016,POSP, ,171,OAH22_06_08/01/2016_POSP_0171,0.000157837131293,0.055852632843000, ,230,Fusion,1,0.055881739924700,0.000158370000667
80,0,OAH22,6,08/01/2016,POSP, ,172,OAH22_06_08/01/2016_POSP_0172,0.000106100759452,0.045593848008500, ,230,Fusion,1,0.045665402900700,0.000106460008553
81,0,OAH22,2,08/01/2016,POSP, ,174,OAH22_02_08/01/2016_POSP_0174,0.012950909627400,0.550712628750000, ,"211,212",Fission,1,0.550596067192000,0.012954549996900
82,0,OAH22,2,08/01/2016,POSP, ,175,OAH22_02_08/01/2016_POSP_0175,0.000682740930188,0.128584243147000, ,346, ,1,0.128389304589000,0.000680069993019
83,0,OAH22,6,08/01/2016,POSP, ,176,OAH22_06_08/01/2016_POSP_0176,0.012974962941100,0.481925435893000, ,232, ,1,0.481871780210000,0.012976849988500
84,0,OAH22,2,08/01/2016,POSP, ,177,OAH22_02_08/01/2016_POSP_0177,0.084835297288700,2.037455277320000, ,"209,214,226","Fiss 209,214 in 2018",1,2.037605427940000,0.084827880117400
85,0,OAH22,6,08/01/2016,POSP, ,178,OAH22_06_08/01/2016_POSP_0178,0.006562866130620,0.360197612437000, ,229, ,1,0.360052974417000,0.006561665013170
86,0,OAH22,2,08/01/2016,POSP, ,179,OAH22_02_08/01/2016_POSP_0179,0.000836718323296,0.108261964992000, ,206, ,1,0.108254318157000,0.000837299993229
87,0,OAH22,6,08/01/2016,POSP, ,182,OAH22_06_08/01/2016_POSP_0182,0.003677887466930,0.259062242535000, ,220, ,1,0.259090085297000,0.003676195007580
88,0,OAH22,6,08/01/2016,POSP, ,183,OAH22_06_08/01/2016_POSP_0183,0.002828078206970,0.325155155367000, ,228,Fusion,1,0.325033432917000,0.002827939961560
89,0,OAH22,6,08/01/2016,POSP, ,184,OAH22_06_08/01/2016_POSP_0184,0.002289560262460,0.192430192793000, ,228,Fusion,1,0.192399243156000,0.002288200017090
90,0,OAH22,6,08/01/2016,POSP, ,185,OAH22_06_08/01/2016_POSP_0185,0.002980065141730,0.238015188675000, ,215, ,1,0.238128200328000,0.002979914994060
91,0,OAH22,6,08/01/2016,POSP, ,186,OAH22_06_08/01/2016_POSP_0186,0.012432274033300,0.484056122866000, ,219, ,1,0.484014609582000,0.012430909980900
92,0,OAH22,3,08/01/2016,POSP, ,188,OAH22_03_08/01/2016_POSP_0188,0.007731561853790,0.338050762767000, ,238, ,1,0.338223842271000,0.007732745007030
93,0,OAH22,3,08/01/2016,POSP, ,189,OAH22_03_08/01/2016_POSP_0189,0.007901204811990,0.515431718961000, ,239,Fusion,1,0.515374761296000,0.007902414954310
94,0,OAH22,3,08/01/2016,POSP, ,190,OAH22_03_08/01/2016_POSP_0190,0.010145436594900,0.463689860864000, ,234, ,1,0.463589057287000,0.010143564965600
95,0,OAH22,3,08/01/2016,POSP, ,191,OAH22_03_08/01/2016_POSP_0191,0.004571326794270,0.276012216830000, ,241, ,1,0.275940516405000,0.004570069972000
96,0,OAH22,3,08/01/2016,POSP, ,192,OAH22_03_08/01/2016_POSP_0192,0.039338776926900,1.000476579400000, ,246, ,1,1.000474686400000,0.039338894939000
97,0,OAH22,3,08/01/2016,POSP, ,193,OAH22_03_08/01/2016_POSP_0193,0.009835550485690,0.485032314206000, ,243, ,1,0.485433764488000,0.009834364985740
98,0,OAH22,3,08/01/2016,POSP, ,194,OAH22_03_08/01/2016_POSP_0194,0.007411784847980,0.383609276161000, ,236,Fusion,1,0.383785591630000,0.007413634918750
99,0,OAH22,3,08/01/2016,POSP, ,195,OAH22_03_08/01/2016_POSP_0195,0.005106917077070,0.329099870592000, ,236,Fusion,1,0.329305112272000,0.005106014997910
100,0,OAH22,3,08/01/2016,POSP, ,196,OAH22_03_08/01/2016_POSP_0196,0.006271162717100,0.355144909974000, ,242, ,1,0.355139697935000,0.006270224985860
101,0,OAH22,3,08/01/2016,POSP, ,197,OAH22_03_08/01/2016_POSP_0197,0.002684449591950,0.205638083732000, ,239,Fusion,1,0.205620254296000,0.002683215045150
102,0,OAH22,3,08/01/2016,POSP, ,198,OAH22_03_08/01/2016_POSP_0198,0.004558785916850,0.275737391782000, ,239,Fusion,1,0.275840921887000,0.004560829953380
103,0,OAH22,3,08/01/2016,PMEA, ,199,OAH22_03_08/01/2016_PMEA_0199,0.014497509637800,0.504822562096000, ,273, ,1,0.504580464313000,0.014498504961200
104,0,OAH22,3,08/01/2016,POSP, ,200,OAH22_03_08/01/2016_POSP_0200,0.001584554597100,0.154189422637000, ,245,Fusion,1,0.154187029773000,0.001583584982520
105,0,OAH22,3,08/01/2016,POSP, ,201,OAH22_03_08/01/2016_POSP_0201,0.004719349596530,0.281883707842000, ,244, ,1,0.281913621654000,0.004719055017260
106,0,OAH22,3,08/01/2016,POSP, ,202,OAH22_03_08/01/2016_POSP_0202,0.013298346445600,0.648922451486000, ,247, ,1,0.648685610552000,0.013298435081600
107,0,OAH22,3,08/01/2016,POSP, ,203,OAH22_03_08/01/2016_POSP_0203,0.000748039797246,0.101644132825000, ,240, ,1,0.101490838874000,0.000745499989538
