FID,Id,Site,Circrat,SpeciesCod,ColonyID,PatchID,PatchName,LinkTP_Bac,LinkTP_For,Date,Notes,TimePt,Max_Diam,Poly_Area,Poly_Perim,Shape_Leng,Shape_Area
83,0,OCC_MAI_00,3,POSP, ,161,OCC_MAI_002_03_04/27/2019_POSP_0161,91, ,04/27/2019, ,2,0.0000000,0.0001000,0.0331000,0.033090939962300,0.000074444998859
84,0,OCC_MAI_00,3,POSP, ,162,OCC_MAI_002_03_04/27/2019_POSP_0162,90, ,04/27/2019, ,2,0.0000000,0.0034000,0.2275000,0.227573980811000,0.003366669995470
85,0,OCC_MAI_00,3,POSP, ,163,OCC_MAI_002_03_04/27/2019_POSP_0163,89, ,04/27/2019, ,2,0.0000000,0.0010000,0.1183000,0.118264975055000,0.000958404994308
86,0,OCC_MAI_00,3,POSP, ,164,OCC_MAI_002_03_04/27/2019_POSP_0164,92, ,04/27/2019, ,2,0.0000000,0.0006000,0.0962000,0.096258589424100,0.000578929996753
87,0,OCC_MAI_00,3,POSP, ,165,OCC_MAI_002_03_04/27/2019_POSP_0165,-99, ,04/27/2019,Recruitment,2,0.0000000,0.0003000,0.0765000,0.076506557002800,0.000259539994457
88,0,OCC_MAI_00,3,POSP, ,166,OCC_MAI_002_03_04/27/2019_POSP_0166,-99, ,04/27/2019,Recruitment,2,0.0000000,0.0001000,0.0502000,0.050007933859000,0.000146760005001
89,0,OCC_MAI_00,3,POSP, ,167,OCC_MAI_002_03_04/27/2019_POSP_0167,-99, ,04/27/2019,Recruitment,2,0.0000000,0.0005000,0.0829000,0.082876773122600,0.000488574998769
90,0,OCC_MAI_00,5,POSP, ,168,OCC_MAI_002_05_04/27/2019_POSP_0168,-99, ,04/27/2019,Recruitment,2,0.0000000,0.0005000,0.0902000,0.090153055379300,0.000459845018892
91,0,OCC_MAI_00,5,POSP, ,169,OCC_MAI_002_05_04/27/2019_POSP_0169,-99, ,04/27/2019,Recruitment,2,0.0000000,0.0005000,0.0873000,0.087359820000300,0.000508270012322
92,0,OCC_MAI_00,5,POSP, ,170,OCC_MAI_002_05_04/27/2019_POSP_0170,-99, ,04/27/2019,Recruitment,2,0.0000000,0.0005000,0.0988000,0.098823284552800,0.000504374996964
93,0,OCC_MAI_00,5,POSP, ,171,OCC_MAI_002_05_04/27/2019_POSP_0171,-99, ,04/27/2019,Recruitment,2,0.0000000,0.0004000,0.0765000,0.076467541769600,0.000404450007745
94,0,OCC_MAI_00,5,POSP, ,172,OCC_MAI_002_05_04/27/2019_POSP_0172,-99, ,04/27/2019,Recruitment,2,0.0000000,0.0005000,0.0860000,0.085964353842500,0.000465665018071
95,0,OCC_MAI_00,5,POSP, ,173,OCC_MAI_002_05_04/27/2019_POSP_0173,-99, ,04/27/2019,Recruitment,2,0.0000000,0.0003000,0.0621000,0.062072189133500,0.000268094981131
96,0,OCC_MAI_00,2,PMEA, ,174,OCC_MAI_002_02_04/27/2019_PMEA_0174,-99, ,04/27/2019,Recruitment,2,0.0000000,0.0029000,0.2183000,0.218010480630000,0.002873279996160
97,0,OCC_MAI_00,2,PMEA, ,175,OCC_MAI_002_02_04/27/2019_PMEA_0175,180, ,04/27/2019, ,2,0.0000000,0.0025000,0.1887000,0.188745938580000,0.002495139977210
98,0,OCC_MAI_00,2,PMEA, ,176,OCC_MAI_002_02_04/27/2019_PMEA_0176,-99, ,04/27/2019,Recruitment,2,0.0000000,0.0010000,0.1393000,0.139333152856000,0.000996785026290
99,0,OCC_MAI_00,2,POSP, ,177,OCC_MAI_002_02_04/27/2019_POSP_0177,119, ,04/27/2019, ,2,0.0000000,0.0003000,0.0645000,0.064387527001500,0.000289254991476
100,0,OCC_MAI_00,4,PMEA, ,1,OCC_MAI_002_04_12/19/2016_PMEA_0001, ,-99,12/19/2016,Mortality,1,0.0000000,0.0370000,0.7228000,0.722785447188000,0.037036650031100
101,0,OCC_MAI_00,4,PMEA, ,2,OCC_MAI_002_04_12/19/2016_PMEA_0002, ,61,12/19/2016, ,1,0.0000000,0.0033000,0.2239000,0.223822574791000,0.003329420021210
102,0,OCC_MAI_00,4,PMEA, ,3,OCC_MAI_002_04_12/19/2016_PMEA_0003, ,60,12/19/2016, ,1,0.0000000,0.0028000,0.2057000,0.205895312431000,0.002833649985930
103,0,OCC_MAI_00,5,PMEA, ,4,OCC_MAI_002_05_12/19/2016_PMEA_0004, ,59,12/19/2016, ,1,0.0000000,0.0090000,0.3579000,0.357921101983000,0.009000539998310
104,0,OCC_MAI_00,5,PMEA, ,5,OCC_MAI_002_05_12/19/2016_PMEA_0005, ,-99,12/19/2016,Mortality,1,0.0000000,0.0045000,0.2473000,0.247284611474000,0.004516744978360
105,0,OCC_MAI_00,5,PMEA, ,6,OCC_MAI_002_05_12/19/2016_PMEA_0006, ,57,12/19/2016, ,1,0.0000000,0.0064000,0.3067000,0.306635465265000,0.006412555058210
106,0,OCC_MAI_00,5,PMEA, ,7,OCC_MAI_002_05_12/19/2016_PMEA_0007, ,-99,12/19/2016,Mortality,1,0.0000000,0.0511000,0.8425000,0.842493498782000,0.051122170044400
107,0,OCC_MAI_00,3,PMEA, ,8,OCC_MAI_002_03_12/19/2016_PMEA_0008, ,56,12/19/2016, ,1,0.0000000,0.0071000,0.3170000,0.316883235940000,0.007090320017150
108,0,OCC_MAI_00,12,PMEA, ,9,OCC_MAI_002_12_12/19/2016_PMEA_0009, ,-99,12/19/2016,Mortality,1,0.0000000,0.0212000,0.6150000,0.615039447102000,0.021190504944500
109,0,OCC_MAI_00,12,PMEA, ,10,OCC_MAI_002_12_12/19/2016_PMEA_0010, ,-99,12/19/2016,Mortality,1,0.0000000,0.0024000,0.1834000,0.183256557866000,0.002386340035000
110,0,OCC_MAI_00,12,PMEA, ,11,OCC_MAI_002_12_12/19/2016_PMEA_0011, ,71,12/19/2016, ,1,0.0000000,0.0097000,0.3944000,0.394259006736000,0.009687365072260
111,0,OCC_MAI_00,25,PMEA, ,12,OCC_MAI_002_25_12/19/2016_PMEA_0012, ,87,12/19/2016, ,1,0.0000000,0.0021000,0.1806000,0.180593404434000,0.002115309964890
112,0,OCC_MAI_00,25,PMEA, ,13,OCC_MAI_002_25_12/19/2016_PMEA_0013, ,-99,12/19/2016,Mortality,1,0.0000000,0.0331000,0.8606000,0.860615594272000,0.033116850060900
113,0,OCC_MAI_00,25,PMEA, ,14,OCC_MAI_002_25_12/19/2016_PMEA_0014, ,-99,12/19/2016,Mortality; entire coral broke off?,1,0.0000000,0.0398000,0.7497000,0.749898979918000,0.039801849928400
114,0,OCC_MAI_00,1,PGRA, ,15,OCC_MAI_002_01_12/19/2016_PGRA_0015, ,37,12/19/2016, ,1,0.0000000,0.0649000,0.9433000,0.943314884051000,0.064863420001600
115,0,OCC_MAI_00,1,PMEA, ,16,OCC_MAI_002_01_12/19/2016_PMEA_0016, ,39,12/19/2016, ,1,0.0000000,0.0070000,0.3087000,0.308617727596000,0.006974385005540
116,0,OCC_MAI_00,6,PMEA, ,17,OCC_MAI_002_06_12/19/2016_PMEA_0017, ,62,12/19/2016, ,1,0.0000000,0.0008000,0.1042000,0.104102388450000,0.000781720020569
117,0,OCC_MAI_00,9,PGRA, ,18,OCC_MAI_002_09_12/19/2016_PGRA_0018, ,41,12/19/2016, ,1,0.0000000,0.0048000,0.2729000,0.272893728947000,0.004807780006210
118,0,OCC_MAI_00,9,PMEA, ,19,OCC_MAI_002_09_12/19/2016_PMEA_0019, ,-99,12/19/2016,Morality,1,0.0000000,0.0397000,0.7619000,0.761738887050000,0.039734700016000
119,0,OCC_MAI_00,9,PMEA, ,20,OCC_MAI_002_09_12/19/2016_PMEA_0020, ,42,12/19/2016, ,1,0.0000000,0.0028000,0.1982000,0.198139478429000,0.002807665026530
120,0,OCC_MAI_00,7,PMEA, ,21,OCC_MAI_002_07_12/19/2016_PMEA_0021, ,-99,12/19/2016,Mortality,1,0.0000000,0.0286000,0.6641000,0.663987937072000,0.028566455017000
121,0,OCC_MAI_00,7,PGRA, ,22,OCC_MAI_002_07_12/19/2016_PGRA_0022, ,43,12/19/2016, ,1,0.0000000,0.0074000,0.3286000,0.328487083326000,0.007387564932030
122,0,OCC_MAI_00,14,PMEA, ,23,OCC_MAI_002_14_12/19/2016_PMEA_0023, ,75,12/19/2016, ,1,0.0000000,0.0060000,0.3006000,0.300764359598000,0.006039430069760
